Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
ANTM;Anthem Inc.;Health Care;230,57;19,23;12.581.781;14,36;267,95;156,81;61221978627.00;0.00;0,6696521;154;2,28;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AON;Aon plc;Financials;136,05;20,8;10.245.464;4,66;152,78;1.132.201;35123123422.00;1858000000.00;34.972.682;4.758.033.386;6,78;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA;Apache Corporation;Energy;37,73;-251,53;2.528.445;-3,72;57,9;38,14;15066280977.00;3265000000.00;3.651.366;137.766.039;2,22;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AIV;Apartment Investment & Management;Real Estate;38,21;15,6;3.876.562;1,95;46.855;38,85;6156884142.00;874871000.00;6.187.621;236.428.998;4,69;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
AAPL;Apple Inc.;Information Technology;155,15;16,86;15.795.412;9,2;180,1;131,12;809508034020.00;79386000000.00;34.586.093;5.366.032.329;5,66;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT;Applied Materials Inc;Information Technology;45,75;14,08;0,8215239;3,17;60,89;34,58;51296481503.00;4336000000.00;47.020.154;2.151.172.046;5,44;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV;Aptiv Plc;Consumer Discretionary;89,27;69,74;0,9392678;5,05;96,91;82,97;24906530300.00;2370000000.00;15.025.798;1.341.352.987;7,56;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ADM;Archer-Daniels-Midland Co;Consumer Staples;41,35;17,45;31.761.081;2,17;47,44;38,59;23594770663.00;2927000000.00;0,52478915;22;1,29;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ARNC;Arconic Inc;Industrials;24,45;20,21;0,9561753;-0,21;31,17;21.755;12123300000.00;1517000000.00;0,94214815;23;;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC
AJG;Arthur J. Gallagher & Co.;Financials;64,4;21,05;24.807.138;2,54;70,55;53,63;11968488290.00;888000000.00;19.400.215;1.249.373.846;2,92;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ;Assurant Inc;Financials;85,16;33,27;25.313.594;9,08;106.985;85,91;4653993594.00;0.00;0,9821866;84;1,12;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T;AT&T Inc;Telecommunication Services;35,57;12,14;54.156.513;4,76;42,7;32,55;226713270000.00;49653000000.00;14.083.152;500.937.717;1,8;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ADSK;Autodesk Inc;Information Technology;104,81;-77,07;0;-2,61;131,1;81,75;24348294504.00;-378100000.00;1.650.682;173.007.980;224,13;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP;Automatic Data Processing;Information Technology;108,25;29,34;22.190.912;3,85;125,24;95,5;50337702249.00;2767400000.00;40.483.294;4.382.316.576;12,86;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO;AutoZone Inc;Consumer Discretionary;718,57;16,31;0;44,09;797,89;491,13;19922021415.00;2347304000.00;18.510.429;13.301.038.967;136,23;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB;AvalonBay Communities, Inc.;Real Estate;154,94;17,97;37.149.355;6,36;199,52;156,01;21856547430.00;1331579000.00;10.251.216;1.588.323.407;2,12;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY;Avery Dennison Corp;Materials;110,77;22,11;15.682.175;3,11;123,67;78.471;10104814319.00;831200000.00;15.206.499;1.684.423.894;8,83;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
BHGE;Baker Hughes, a GE Company;Energy;27,5;305,56;24.991.322;-0,31;57,73;28,03;32995712852.00;285000000.00;19.390.045;533.226.238;2,25;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE
BLL;Ball Corp;Materials;38,44;20,56;10.170.354;0,85;43,24;35,6;13767688518.00;1317000000.00;15.696.399;603.369.578;3,62;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
